,title,id,genres,cast,keywords,plot,word_soup
0,Avatar,19995,"['action', 'adventure', 'fantasy']","['samworthington', 'zoesaldana', 'sigourneyweaver']","['cultureclash', 'future', 'spacewar']","In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",cultureclash future spacewar action adventure fantasy samworthington zoesaldana sigourneyweaver
1,Pirates of the Caribbean: At World's End,285,"['adventure', 'fantasy', 'action']","['johnnydepp', 'orlandobloom', 'keiraknightley']","['ocean', 'drugabuse', 'exoticisland']","Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.",ocean drugabuse exoticisland adventure fantasy action johnnydepp orlandobloom keiraknightley
2,Spectre,206647,"['action', 'adventure', 'crime']","['danielcraig', 'christophwaltz', 'léaseydoux']","['spy', 'basedonnovel', 'secretagent']","A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.",spy basedonnovel secretagent action adventure crime danielcraig christophwaltz léaseydoux
3,The Dark Knight Rises,49026,"['action', 'crime', 'drama']","['christianbale', 'michaelcaine', 'garyoldman']","['dccomics', 'crimefighter', 'terrorist']","Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",dccomics crimefighter terrorist action crime drama christianbale michaelcaine garyoldman
4,John Carter,49529,"['action', 'adventure', 'sciencefiction']","['taylorkitsch', 'lynncollins', 'samanthamorton']","['basedonnovel', 'mars', 'medallion']","John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.",basedonnovel mars medallion action adventure sciencefiction taylorkitsch lynncollins samanthamorton
5,Spider-Man 3,559,"['fantasy', 'action', 'adventure']","['tobeymaguire', 'kirstendunst', 'jamesfranco']","['dualidentity', 'amnesia', 'sandstorm']","The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.",dualidentity amnesia sandstorm fantasy action adventure tobeymaguire kirstendunst jamesfranco
6,Tangled,38757,"['animation', 'family']","['zacharylevi', 'mandymoore', 'donnamurphy']","['hostage', 'magic', 'horse']","When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.",hostage magic horse animation family zacharylevi mandymoore donnamurphy
7,Avengers: Age of Ultron,99861,"['action', 'adventure', 'sciencefiction']","['robertdowneyjr.', 'chrishemsworth', 'markruffalo']","['marvelcomic', 'sequel', 'superhero']","When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",marvelcomic sequel superhero action adventure sciencefiction robertdowneyjr. chrishemsworth markruffalo
8,Harry Potter and the Half-Blood Prince,767,"['adventure', 'fantasy', 'family']","['danielradcliffe', 'rupertgrint', 'emmawatson']","['witch', 'magic', 'broom']","As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past.",witch magic broom adventure fantasy family danielradcliffe rupertgrint emmawatson
9,Batman v Superman: Dawn of Justice,209112,"['action', 'adventure', 'fantasy']","['benaffleck', 'henrycavill', 'galgadot']","['dccomics', 'vigilante', 'superhero']","Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.",dccomics vigilante superhero action adventure fantasy benaffleck henrycavill galgadot
10,Superman Returns,1452,"['adventure', 'fantasy', 'action']","['brandonrouth', 'kevinspacey', 'katebosworth']","['savingtheworld', 'dccomics', 'invulnerability']","Superman returns to discover his 5-year absence has allowed Lex Luthor to walk free, and that those he was closest too felt abandoned and have moved on. Luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the Man of Steel.",savingtheworld dccomics invulnerability adventure fantasy action brandonrouth kevinspacey katebosworth
11,Quantum of Solace,10764,"['adventure', 'action', 'thriller']","['danielcraig', 'olgakurylenko', 'mathieuamalric']","['killing', 'undercover', 'secretagent']","Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.",killing undercover secretagent adventure action thriller danielcraig olgakurylenko mathieuamalric
12,Pirates of the Caribbean: Dead Man's Chest,58,"['adventure', 'fantasy', 'action']","['johnnydepp', 'orlandobloom', 'keiraknightley']","['witch', 'fortuneteller', 'bondage']","Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.",witch fortuneteller bondage adventure fantasy action johnnydepp orlandobloom keiraknightley
13,The Lone Ranger,57201,"['action', 'adventure', 'western']","['johnnydepp', 'armiehammer', 'williamfichtner']","['texas', 'horse', 'survivor']","The Texas Rangers chase down a gang of outlaws led by Butch Cavendish, but the gang ambushes the Rangers, seemingly killing them all. One survivor is found, however, by an American Indian named Tonto, who nurses him back to health. The Ranger, donning a mask and riding a white stallion named Silver, teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice.",texas horse survivor action adventure western johnnydepp armiehammer williamfichtner
14,Man of Steel,49521,"['action', 'adventure', 'fantasy']","['henrycavill', 'amyadams', 'michaelshannon']","['savingtheworld', 'dccomics', 'superhero']","A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.",savingtheworld dccomics superhero action adventure fantasy henrycavill amyadams michaelshannon
15,The Chronicles of Narnia: Prince Caspian,2454,"['adventure', 'family', 'fantasy']","['benbarnes', 'williammoseley', 'annapopplewell']","['basedonnovel', 'fictionalplace', 'brothersisterrelationship']","One year after their incredible adventures in the Lion, the Witch and the Wardrobe, Peter, Edmund, Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now, with the help of a colorful cast of new characters, including Trufflehunter the badger and Nikabrik the dwarf, the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir.",basedonnovel fictionalplace brothersisterrelationship adventure family fantasy benbarnes williammoseley annapopplewell
16,The Avengers,24428,"['sciencefiction', 'action', 'adventure']","['robertdowneyjr.', 'chrisevans', 'markruffalo']","['newyork', 'shield', 'marvelcomic']","When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",newyork shield marvelcomic sciencefiction action adventure robertdowneyjr. chrisevans markruffalo
17,Pirates of the Caribbean: On Stranger Tides,1865,"['adventure', 'action', 'fantasy']","['johnnydepp', 'penélopecruz', 'ianmcshane']","['sea', 'captain', 'mutiny']","Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.",sea captain mutiny adventure action fantasy johnnydepp penélopecruz ianmcshane
18,Men in Black 3,41154,"['action', 'comedy', 'sciencefiction']","['willsmith', 'tommyleejones', 'joshbrolin']","['timetravel', 'timemachine', 'alien']","Agents J (Will Smith) and K (Tommy Lee Jones) are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. But when K's life and the fate of the planet are put at stake, Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him - secrets that will reveal themselves as he teams up with the young Agent K (Josh Brolin) to save his partner, the agency, and the future of humankind.",timetravel timemachine alien action comedy sciencefiction willsmith tommyleejones joshbrolin
19,The Hobbit: The Battle of the Five Armies,122917,"['action', 'adventure', 'fantasy']","['martinfreeman', 'ianmckellen', 'richardarmitage']","['corruption', 'elves', 'dwarves']","Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.",corruption elves dwarves action adventure fantasy martinfreeman ianmckellen richardarmitage
20,The Amazing Spider-Man,1930,"['action', 'adventure', 'fantasy']","['andrewgarfield', 'emmastone', 'rhysifans']","['lossoffather', 'vigilante', 'serum']","Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.",lossoffather vigilante serum action adventure fantasy andrewgarfield emmastone rhysifans
21,Robin Hood,20662,"['action', 'adventure']","['russellcrowe', 'cateblanchett', 'maxvonsydow']","['robinhood', 'archer', 'knight']","When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity; romances his widow, Marion; and draws the ire of the town's sheriff and King John's henchman, Godfrey.",robinhood archer knight action adventure russellcrowe cateblanchett maxvonsydow
22,The Hobbit: The Desolation of Smaug,57158,"['adventure', 'fantasy']","['martinfreeman', 'ianmckellen', 'richardarmitage']","['elves', 'dwarves', 'orcs']","The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.",elves dwarves orcs adventure fantasy martinfreeman ianmckellen richardarmitage
23,The Golden Compass,2268,"['adventure', 'fantasy']","['dakotabluerichards', 'nicolekidman', 'danielcraig']","['england', 'compass', 'experiment']","After overhearing a shocking secret, precocious orphan Lyra Belacqua trades her carefree existence roaming the halls of Jordan College for an otherworldly adventure in the far North, unaware that it's part of her destiny.",england compass experiment adventure fantasy dakotabluerichards nicolekidman danielcraig
24,King Kong,254,"['adventure', 'drama', 'action']","['naomiwatts', 'jackblack', 'adrienbrody']","['filmbusiness', 'screenplay', 'showbusiness']","In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady.",filmbusiness screenplay showbusiness adventure drama action naomiwatts jackblack adrienbrody
25,Titanic,597,"['drama', 'romance', 'thriller']","['katewinslet', 'leonardodicaprio', 'francesfisher']","['shipwreck', 'iceberg', 'ship']","84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fiancé, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning.",shipwreck iceberg ship drama romance thriller katewinslet leonardodicaprio francesfisher
26,Captain America: Civil War,271110,"['adventure', 'action', 'sciencefiction']","['chrisevans', 'robertdowneyjr.', 'scarlettjohansson']","['civilwar', 'war', 'marvelcomic']","Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.",civilwar war marvelcomic adventure action sciencefiction chrisevans robertdowneyjr. scarlettjohansson
27,Battleship,44833,"['thriller', 'action', 'adventure']","['taylorkitsch', 'alexanderskarsgård', 'rihanna']","['fight', 'u.s.navy', 'mindreading']","When mankind beams a radio signal into space, a reply comes from ‘Planet G’, in the form of several alien crafts that splash down in the waters off Hawaii. Lieutenant Alex Hopper is a weapons officer assigned to the USS John Paul Jones, part of an international naval coalition which becomes the world's last hope for survival as they engage the hostile alien force of unimaginable strength. While taking on the invaders, Hopper must also try to live up to the potential his brother, and his fiancée's father, Admiral Shane, expect of him.",fight u.s.navy mindreading thriller action adventure taylorkitsch alexanderskarsgård rihanna
28,Jurassic World,135397,"['action', 'adventure', 'sciencefiction']","['chrispratt', 'brycedallashoward', 'irrfankhan']","['monster', 'dna', 'tyrannosaurusrex']","Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",monster dna tyrannosaurusrex action adventure sciencefiction chrispratt brycedallashoward irrfankhan
29,Skyfall,37724,"['action', 'adventure', 'thriller']","['danielcraig', 'judidench', 'javierbardem']","['spy', 'secretagent', 'sociopath']","When Bond's latest assignment goes gravely wrong and agents around the world are exposed, MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory, the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent, Eve - following a trail to the mysterious Silva, whose lethal and hidden motives have yet to reveal themselves.",spy secretagent sociopath action adventure thriller danielcraig judidench javierbardem
30,Spider-Man 2,558,"['action', 'adventure', 'fantasy']","['tobeymaguire', 'kirstendunst', 'jamesfranco']","['dualidentity', ""loveofone'slife"", 'pizzaboy']","Peter Parker is going through a major identity crisis. Burned out from being Spider-Man, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime, Parker still can't act on his feelings for Mary Jane Watson, a girl he's loved since childhood.",dualidentity loveofone'slife pizzaboy action adventure fantasy tobeymaguire kirstendunst jamesfranco
31,Iron Man 3,68721,"['action', 'adventure', 'sciencefiction']","['robertdowneyjr.', 'gwynethpaltrow', 'doncheadle']","['terrorist', 'waronterror', 'tennessee']","When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",terrorist waronterror tennessee action adventure sciencefiction robertdowneyjr. gwynethpaltrow doncheadle
32,Alice in Wonderland,12155,"['family', 'fantasy', 'adventure']","['miawasikowska', 'johnnydepp', 'annehathaway']","['basedonnovel', 'fictionalplace', 'queen']","Alice, an unpretentious and individual 19-year-old, is betrothed to a dunce of an English nobleman. At her engagement party, she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit. Arriving in a strange and surreal place called 'Underland,' she finds herself in a world that resembles the nightmares she had as a child, filled with talking animals, villainous queens and knights, and frumious bandersnatches. Alice realizes that she is there for a reason – to conquer the horrific Jabberwocky and restore the rightful queen to her throne.",basedonnovel fictionalplace queen family fantasy adventure miawasikowska johnnydepp annehathaway
33,X-Men: The Last Stand,36668,"['adventure', 'action', 'sciencefiction']","['hughjackman', 'halleberry', 'ianmckellen']","['mutant', 'marvelcomic', 'basedoncomicbook']","When a cure is found to treat mutations, lines are drawn amongst the X-Men and The Brotherhood, a band of powerful mutants organized under Xavier's former ally, Magneto.",mutant marvelcomic basedoncomicbook adventure action sciencefiction hughjackman halleberry ianmckellen
34,Monsters University,62211,"['animation', 'family']","['billycrystal', 'johngoodman', 'stevebuscemi']","['monster', 'dormitory', 'games']",A look at the relationship between Mike and Sulley during their days at Monsters University — when they weren't necessarily the best of friends.,monster dormitory games animation family billycrystal johngoodman stevebuscemi
35,Transformers: Revenge of the Fallen,8373,"['sciencefiction', 'action', 'adventure']","['shialabeouf', 'meganfox', 'joshduhamel']","['egypt', 'sun', 'chaos']","Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war.",egypt sun chaos sciencefiction action adventure shialabeouf meganfox joshduhamel
36,Transformers: Age of Extinction,91314,"['sciencefiction', 'action', 'adventure']","['markwahlberg', 'stanleytucci', 'kelseygrammer']","['sequel', 'alien', 'transformers']","As humanity picks up the pieces, following the conclusion of ""Transformers: Dark of the Moon,"" Autobots and Decepticons have all but vanished from the face of the planet. However, a group of powerful, ingenious businessman and scientists attempt to learn from past Transformer incursions and push the boundaries of technology beyond what they can control - all while an ancient, powerful Transformer menace sets Earth in his cross-hairs.",sequel alien transformers sciencefiction action adventure markwahlberg stanleytucci kelseygrammer
37,Oz: The Great and Powerful,68728,"['fantasy', 'adventure', 'family']","['jamesfranco', 'milakunis', 'rachelweisz']","['circus', 'witch', 'magic']","Oscar Diggs, a small-time circus illusionist and con-artist, is whisked from Kansas to the Land of Oz where the inhabitants assume he's the great wizard of prophecy, there to save Oz from the clutches of evil.",circus witch magic fantasy adventure family jamesfranco milakunis rachelweisz
38,The Amazing Spider-Man 2,102382,"['action', 'adventure', 'fantasy']","['andrewgarfield', 'emmastone', 'jamiefoxx']","['obsession', 'marvelcomic', 'sequel']","For Peter Parker, life is busy. Between taking out the bad guys as Spider-Man and spending time with the person he loves, Gwen Stacy, high school graduation cannot come quickly enough. Peter has not forgotten about the promise he made to Gwen’s father to protect her by staying away, but that is a promise he cannot keep. Things will change for Peter when a new villain, Electro, emerges, an old friend, Harry Osborn, returns, and Peter uncovers new clues about his past.",obsession marvelcomic sequel action adventure fantasy andrewgarfield emmastone jamiefoxx
39,TRON: Legacy,20526,"['adventure', 'action', 'sciencefiction']","['garretthedlund', 'jeffbridges', 'oliviawilde']","['artificialintelligence', 'secretidentity', 'computerprogram']","Sam Flynn, the tech-savvy and daring son of Kevin Flynn, investigates his father's disappearance and is pulled into The Grid. With the help of a mysterious program named Quorra, Sam quests to stop evil dictator Clu from crossing into the real world.",artificialintelligence secretidentity computerprogram adventure action sciencefiction garretthedlund jeffbridges oliviawilde
40,Cars 2,49013,"['animation', 'family', 'adventure']","['owenwilson', 'larrythecableguy', 'michaelcaine']","['carrace', 'sequel', 'comedy']",Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.,carrace sequel comedy animation family adventure owenwilson larrythecableguy michaelcaine
41,Green Lantern,44912,"['adventure', 'action', 'thriller']","['ryanreynolds', 'blakelively', 'petersarsgaard']","['dccomics', 'transformation', 'superhero']","For centuries, a small but powerful force of warriors called the Green Lantern Corps has sworn to keep intergalactic order. Each Green Lantern wears a ring that grants him superpowers. But when a new enemy called Parallax threatens to destroy the balance of power in the Universe, their fate and the fate of Earth lie in the hands of the first human ever recruited.",dccomics transformation superhero adventure action thriller ryanreynolds blakelively petersarsgaard
42,Toy Story 3,10193,"['animation', 'family', 'comedy']","['tomhanks', 'timallen', 'nedbeatty']","['hostage', 'college', 'toy']","Woody, Buzz, and the rest of Andy's toys haven't been played with in years. With Andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy.",hostage college toy animation family comedy tomhanks timallen nedbeatty
43,Terminator Salvation,534,"['action', 'sciencefiction', 'thriller']","['christianbale', 'samworthington', 'antonyelchin']","['savingtheworld', 'artificialintelligence', 'prophecy']","All grown up in post-apocalyptic 2018, John Connor must lead the resistance of humans against the increasingly dominating militaristic robots. But when Marcus Wright appears, his existence confuses the mission as Connor tries to determine whether Wright has come from the future or the past -- and whether he's friend or foe.",savingtheworld artificialintelligence prophecy action sciencefiction thriller christianbale samworthington antonyelchin
